Name,PA,BB%,K%,AVG,OBP,SLG,OPS
Wander Franco,512.000,4.100,16.200,0.268,0.310,0.403,0.712
Wang-Wei Lin,457.974,11.393,16.453,0.255,0.358,0.347,0.705
Welinson Baez,478.000,8.600,33.100,0.232,0.305,0.368,0.673
Wendell Fairley,390.000,9.200,26.400,0.243,0.323,0.333,0.656
Wendell Rijo,473.000,11.800,21.800,0.254,0.348,0.416,0.764
Wes Cunningham,410.000,10.200,17.300,0.268,0.345,0.381,0.726
Wes Darvill,496.000,7.900,16.700,0.224,0.285,0.306,0.592
Wilberto Ortiz,461.000,7.400,12.400,0.277,0.330,0.387,0.717
Wilfredo Tovar,553.000,8.000,9.600,0.251,0.318,0.318,0.636
Will Allen,557.000,9.300,15.400,0.266,0.338,0.369,0.706
Will Callaway,435.000,6.200,21.600,0.268,0.313,0.362,0.676
Will Kengor,457.000,11.800,21.900,0.286,0.378,0.358,0.736
Will Maddox,558.000,5.700,15.900,0.339,0.380,0.401,0.781
Will Middlebrooks,427.000,11.200,28.800,0.265,0.349,0.404,0.753
Will Piwnica-Worms,372.000,14.800,17.200,0.257,0.385,0.350,0.735
Will Rhymes,578.000,9.200,9.200,0.261,0.332,0.324,0.656
Will Skinner,397.000,9.100,27.000,0.246,0.323,0.404,0.727
Will Venable,541.000,10.200,15.000,0.314,0.389,0.477,0.866
Willi Castro,548.000,3.500,17.500,0.259,0.286,0.371,0.657
William Beckwith,426.000,7.700,21.600,0.291,0.360,0.478,0.838
Willians Astudillo,465.000,4.100,4.300,0.333,0.366,0.433,0.799
Willie Abreu,512.000,5.100,18.200,0.283,0.321,0.463,0.784
Willie Carmona,505.000,7.700,18.400,0.303,0.356,0.433,0.789
Willy Adames,514.000,10.500,24.500,0.271,0.353,0.429,0.782
Willy Garcia,497.000,6.400,26.400,0.240,0.286,0.403,0.689
Wilmer Difo,610.000,6.100,10.700,0.315,0.360,0.470,0.831
Wilmer Flores,528.000,4.200,13.600,0.264,0.305,0.332,0.637
Wilson Garcia,447.000,2.700,10.700,0.273,0.290,0.340,0.630
