Name,PA,BB%,K%,AVG,OBP,SLG,OPS,WAR/PA
Pedro Ciriaco,600.000,5.300,16.000,0.264,0.308,0.320,0.628,0.000
Pedro Cotto,471.000,8.300,6.200,0.278,0.343,0.328,0.671,0.000
Pedro Florimon,418.000,6.700,25.600,0.197,0.257,0.272,0.529,1.000
Pedro Zapata,400.000,7.300,22.000,0.288,0.343,0.384,0.726,0.000
Pete Kozma,434.000,10.400,15.900,0.284,0.363,0.398,0.760,0.000
Peter Hissey,425.000,9.200,20.700,0.279,0.356,0.347,0.702,0.000
Peter Van Gansen,532.000,10.200,15.000,0.237,0.318,0.285,0.603,0.000
Petey Paramore,389.000,14.100,14.100,0.230,0.344,0.294,0.638,0.000
Philip Wunderlich,561.000,6.100,14.800,0.263,0.326,0.432,0.758,0.000
Phillip Cuadrado,432.000,8.100,16.700,0.296,0.374,0.479,0.852,0.000
Phillip Ervin,562.000,8.200,19.600,0.237,0.305,0.376,0.680,0.000
Phillip Evans,389.000,7.700,15.400,0.203,0.268,0.263,0.531,0.000
Pin-Chieh Chen,539.000,11.500,14.500,0.259,0.345,0.347,0.692,0.000
Preston Mattingly,437.000,5.000,27.200,0.210,0.251,0.297,0.548,0.000
Preston Palmeiro,544.000,7.900,24.400,0.253,0.319,0.399,0.718,0.000
Quentin Davis,506.000,4.900,16.000,0.254,0.299,0.337,0.636,0.000
Quincy Ascencion,452.000,4.900,10.400,0.260,0.317,0.338,0.654,0.000
Quincy Latimore,513.000,4.500,22.600,0.251,0.295,0.411,0.706,0.000
Quinn Stewart,438.000,9.400,27.900,0.251,0.334,0.466,0.800,0.000
Quintin Berry,581.000,10.500,14.600,0.312,0.395,0.386,0.781,1.000
R.J. Dennard,450.000,9.600,24.400,0.229,0.304,0.334,0.639,0.000
Rafael Bautista,543.000,6.100,13.300,0.290,0.341,0.382,0.723,0.000
Rafael Devers,508.000,4.700,16.500,0.288,0.329,0.443,0.773,1.000
Rafael Fernandez,508.000,12.800,24.000,0.264,0.367,0.416,0.782,0.000
