Name,H,1B,2B,HR,R,RBI,BB,IBB,SO,SB,AVG
Andy LaRoche,135.000,89.000,29.000,12.000,64.000,64.000,50.000,1.000,84.000,3.000,0.258
Angel Pagan,147.600,105.000,27.600,8.200,73.800,54.600,42.000,3.000,83.000,25.000,0.276
Anthony Gose,123.000,86.000,24.000,5.000,73.000,26.000,45.000,0.000,145.000,23.000,0.254
Anthony Rendon,160.667,96.333,39.333,22.000,94.333,89.333,69.000,3.333,101.000,12.000,0.286
Anthony Rizzo,156.000,87.200,36.200,30.000,89.400,95.400,78.400,8.400,109.200,8.200,0.272
Aramis Ramirez,147.286,88.143,34.143,23.286,70.286,90.571,41.429,4.429,77.714,2.286,0.282
Asdrubal Cabrera,143.250,91.750,33.125,15.875,71.875,66.500,43.500,2.500,102.750,9.500,0.270
Aubrey Huff,151.600,94.000,34.800,20.000,73.600,82.000,56.400,5.400,88.800,3.400,0.272
Austin Jackson,154.167,108.833,28.333,9.167,87.000,49.333,49.667,1.167,147.333,17.667,0.273
Austin Kearns,156.000,104.000,35.000,16.000,84.000,74.000,71.000,5.000,106.000,2.000,0.266
