,Name,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,WAR/PA
221,JaCoby Jones,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
222,Jack Cust,2.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0
223,Jack Hannahan,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
224,Jacoby Ellsbury,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
225,Jaff Decker,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
226,Jake Elmore,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0
227,Jake Goebbert,0.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0
228,James Loney,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
229,James McCann,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
230,Jamie Burke,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
231,Jared Hoying,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
232,Jarrett Parker,1.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0
233,Jason Botts,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0
234,Jason Bourgeois,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
235,Jason Ellison,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
236,Jason Jaramillo,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
237,Jason Kipnis,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
238,Jason Lane,1.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0
239,Jason Pridie,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
240,Jason Repko,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
241,Jason Rogers,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
242,Jason Smith,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
243,Jason Wood,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
244,Javier Baez,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0
245,Jay Payton,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0
246,Jaycob Brugman,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
247,Jayson Nix,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
